M__DEPTH,SP,GR,CALI,BitSize,LL8,ILM,ILD,RHOB,NPHI,DT,MudWgt,DEPT,VCLGR,VCLND,VCLRT,VCLSP,VCL,PHISw,PHISwshc,PHISrhg,PHISrhgshc,PHID,PHIDshc,PHIN,PHINshc,PHIxND,PHIE,SWa,BVW,matrix
3039.0,-13.803360000000001,71.753,8.4817,8.5,,14.0972,14.7676,2.4726,24.2506,78.9059,10.3,3039.0,0.3342421052631579,0.09654530612244883,0.25762012354115743,0.7699440000000001,0.3342421052631579,0.17664830188679248,0.08961922542204571,0.1853940896688334,0.09836501320408662,0.11445161290322582,0.06054159592529712,0.242506,0.09209705263157893,0.07631932427843802,0.07631932427843802,1.0,0.07631932427843802,0.5894385704584041
3039.5,-13.42676,73.8359,8.4858,8.5,,14.0975,14.7677,2.481,24.1388,78.8058,10.3,3039.5,0.35616736842105257,0.1023787755102039,0.25761695644613447,0.7762206666666667,0.35616736842105257,0.1758928301886793,0.08315491161866938,0.18483569737252845,0.09209777880251853,0.10903225806451616,0.051585908319185095,0.241388,0.08111268421052635,0.06634929626485572,0.06634929626485572,1.0,0.06634929626485572,0.5774833353140917
3040.0,-13.138670000000001,75.9119,8.4772,8.5,,14.1385,14.8107,2.5041,24.1515,78.1587,10.3,3040.0,0.37802,0.12626122448979607,0.2562588165492705,0.7810221666666666,0.37802,0.17100905660377355,0.07258120754716978,0.1811914412598981,0.08276359220329434,0.09412903225806434,0.03315806451612884,0.24151499999999998,0.071406,0.05228203225806442,0.05228203225806442,1.0,0.05228203225806442,0.5696979677419356
3040.5,-12.88977,78.6319,8.4711,8.5,,14.1797,14.8538,2.5178,24.4743,76.9086,10.3,3040.5,0.4066515789473684,0.14814612244897934,0.25490487586865906,0.7851705,0.4066515789473684,0.16157433962264156,0.0556914756703079,0.17397761758763003,0.06809475363529637,0.08529032258064523,0.019701358234295474,0.244743,0.061749789473684195,0.04072557385398984,0.04072557385398984,1.0,0.04072557385398984,0.5526228471986419
3041.0,-12.64248,79.6062,8.4735,8.5,,14.2209,14.897,2.533,24.9845,76.9353,10.3,3041.0,0.41690736842105264,0.17615102040816316,0.2535550770730854,0.789292,0.41690736842105264,0.16177584905660375,0.05322260973187684,0.17413414258474327,0.06558090326001637,0.07548387096774194,0.008240747028862475,0.249845,0.062236684210526326,0.0352387156196944,0.0352387156196944,1.0,0.0352387156196944,0.5478539159592529
3041.5,-13.19498,79.2355,8.4718,8.5,,14.1972,14.8738,2.5607,25.2512,76.9574,10.3,3041.5,0.41300526315789476,0.21094775510204103,0.25427906909163484,0.7800836666666666,0.41300526315789476,0.16194264150943402,0.05440542204568029,0.1742636185733926,0.06672639910963886,0.05761290322580627,0.0,0.252512,0.06665963157894737,0.03332981578947369,0.03332981578947369,1.0,0.03332981578947369,0.5536649210526315
3042.0,-14.17738,79.234,8.4774,8.5,,14.1371,14.8109,2.5559,25.5241,77.7148,10.3,3042.0,0.41298947368421046,0.21273306122448962,0.25625251683431205,0.7637103333333334,0.41298947368421046,0.16765886792452828,0.06012575968222442,0.17865644639116357,0.07112333814885971,0.060709677419354895,0.0,0.255241,0.06939573684210529,0.034697868421052644,0.034697868421052644,1.0,0.034697868421052644,0.5523126578947369
3042.5,-13.74029,79.9407,8.4691,8.5,,14.0307,14.7482,2.5055,25.8871,79.3256,10.3,3042.5,0.4204284210526317,0.17019428571428574,0.2582353029021237,0.7709951666666667,0.4204284210526317,0.17981584905660372,0.07034580734856001,0.18771997942656593,0.07824993771852222,0.09322580645161281,0.025414770797962533,0.258871,0.06967821052631575,0.04754649066213914,0.04754649066213914,1.0,0.04754649066213914,0.5320250882852292
3043.0,-13.81799,80.1904,8.4665,8.5,,13.7571,14.4679,2.4712,25.7966,79.1083,10.3,3043.0,0.4230568421052631,0.13297795918367356,0.26729907804969416,0.7697001666666666,0.4230568421052631,0.17817584905660377,0.06802142601787489,0.18651882925053376,0.07636440621180487,0.11535483870967733,0.04711986417657037,0.25796600000000003,0.06759042105263163,0.057355142614601,0.057355142614601,1.0,0.057355142614601,0.5195880152801359
3043.5,-14.203389999999999,79.5917,8.4698,8.5,,13.4888,14.1859,2.4762,25.285,78.6898,10.3,3043.5,0.4167547368421053,0.12555102040816318,0.2767719137995896,0.7632768333333334,0.4167547368421053,0.17501735849056607,0.06650386097318771,0.1841868323467591,0.07567333482938073,0.1121290322580645,0.04491052631578944,0.25285,0.06531036842105262,0.05511044736842103,0.05511044736842103,1.0,0.05511044736842103,0.5281348157894736
